batch,t_min,v_T,C0_VE1,C0_VE2,C0_FA,C0_OH,C_VE1_exp,C_VE2_exp,C_FA_exp
2,0.0,38.0,0.024,0.011,0.0075,0.0,0.0,0.0,0.0
2,10.0,38.0,0.024,0.011,0.0075,0.0,8.200028321810718e-10,3.7102974810699064e-10,1.2935757379534063e-21
2,20.0,38.0,0.024,0.011,0.0075,0.0,6.059129444369736e-08,2.757780857783362e-08,1.9398458564743114e-21
2,30.0,38.0,0.024,0.011,0.0075,0.0,1.2225341287535192e-07,5.677112582201942e-08,3.2809682787175566e-21
2,40.0,38.0,0.024,0.011,0.0075,0.0,1.7229943551645374e-07,8.245942663499669e-08,5.539908831004297e-21
2,50.0,38.0,0.024,0.011,0.0075,0.0,2.6244554102094966e-07,1.2074656348785907e-07,9.903751566395023e-21
2,60.0,38.0,0.024,0.011,0.0075,0.0,4.0004727630098993e-07,1.856496213846244e-07,1.7266787860533353e-20
2,70.0,38.0,0.024,0.011,0.0075,0.0,6.006035984318253e-07,2.643888441144457e-07,2.951087197637149e-20
2,80.0,38.0,0.024,0.011,0.0075,0.0,8.585265716995546e-07,3.8723411632447705e-07,4.738082385243407e-20
2,90.0,38.0,0.024,0.011,0.0075,0.0,1.1681669188367542e-06,5.404717501437957e-07,7.716793888356691e-20
2,100.0,38.0,0.024,0.011,0.0075,0.0,1.616925047899704e-06,7.531991570066571e-07,1.2002142186850006e-19
2,110.0,38.0,0.024,0.011,0.0075,0.0,2.284193714922587e-06,1.0401653700541787e-06,1.8787474921272936e-19
2,120.0,38.0,0.024,0.011,0.0075,0.0,3.027879970175039e-06,1.4025209867774213e-06,2.918684525901362e-19
2,130.0,38.0,0.024,0.011,0.0075,0.0,4.2646052519842145e-06,1.8501302378535638e-06,4.550825036550668e-19
2,140.0,38.0,0.024,0.011,0.0075,0.0,5.715626972654351e-06,2.590858352207454e-06,6.825766526858913e-19
2,150.0,38.0,0.024,0.011,0.0075,0.0,7.411334808396242e-06,3.5180033121038346e-06,1.0860542358697302e-18
2,160.0,38.0,0.024,0.011,0.0075,0.0,1.033017931197376e-05,4.690196611694132e-06,1.623157415775146e-18
2,170.0,38.0,0.024,0.011,0.0075,0.0,1.2987089607627733e-05,6.099283367829812e-06,2.523978711497918e-18
2,180.0,38.0,0.024,0.011,0.0075,0.0,1.7279035475665986e-05,8.193259359648215e-06,3.889208113378372e-18
2,190.0,38.0,0.024,0.011,0.0075,0.0,2.3939058724868026e-05,1.0565148220487744e-05,5.896443627968663e-18
2,200.0,38.0,0.024,0.011,0.0075,0.0,3.112810057366784e-05,1.4055943928677426e-05,9.58593988016807e-18
2,210.0,38.0,0.024,0.011,0.0075,0.0,4.132077568027582e-05,1.9254261822673404e-05,1.4282306918744755e-17
2,220.0,38.0,0.024,0.011,0.0075,0.0,5.7188290605539946e-05,2.6077603847286e-05,2.2511103230420934e-17
2,230.0,38.0,0.024,0.011,0.0075,0.0,7.034452056703344e-05,3.376271781054136e-05,3.484932334294638e-17
2,240.0,38.0,0.024,0.011,0.0075,0.0,9.960197415169506e-05,4.419925738393704e-05,5.504257491321719e-17
2,250.0,38.0,0.024,0.011,0.0075,0.0,0.00012607918063346033,5.8568458228792264e-05,8.349750921434577e-17
2,260.0,38.0,0.024,0.011,0.0075,0.0,0.00017184068353111347,8.18342077200984e-05,1.2692389595979058e-16
2,270.0,38.0,0.024,0.011,0.0075,0.0,0.00022458652721728462,0.00010346851093339704,1.9082589778823066e-16
2,280.0,38.0,0.024,0.011,0.0075,0.0,0.00029352764730148175,0.00013980218391434983,3.0462680156170657e-16
